"Time"	"S1P1"	"S1P2"	"S2P1"	"S2P2"	"S3P1"	"S3P2"	"S4P1"	"S4P2"	"S5P1"	"S5P2"	"S6P1"	"S6P2"	"S7P1"	"S7P2"	"S8P1"	"S8P2"	"S9P1"	"S9P2"	"S10P1"	"S10P2"	"S11P1"	"S11P2"	"S12P1"	"S12P2"	"S13P1"	"S13P2"	"S14P1"	"S14P2"	"S15P1"	"S15P2"	"S16P1"	"S16P2"	"S17P1"	"S17P2"	"S18P1"	"S18P2"	"S19P1"	"S19P2"	"S20P1"	"S20P2"	"S21P1"	"S21P2"	"S22P1"	"S22P2"	"S23P1"	"S23P2"	"S24P1"	"S24P2"	"S25P1"	"S25P2"	"S26P1"	"S26P2"	"S27P1"	"S27P2"	"S28P1"	"S28P2"	"S29P1"	"S29P2"	"S30P1"	"S30P2"	"S31P1"	"S31P2"	"S32P1"	"S32P2"	"S33P1"	"S33P2"	"S34P1"	"S34P2"	"S35P1"	"S35P2"	"S36P1"	"S36P2"
0	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"	"0"
0.25	"397.02"	"327.58"	"0"	"95.41"	"54.96"	"253.76"	"0"	"269.13"	"401.13"	"237.62"	"84.55"	"372.55"	"264.82"	"224.86"	"472.26"	"257.79"	"0"	"6.23"	"0"	"603.16"	"31.78"	"411.2"	"0"	"141.43"	"0"	"144.55"	"0"	"523.84"	"245.89"	"198.45"	"81.4"	"133.29"	"79.68"	"4.64"	"3.7"	"0"	"456.22"	"0"	"166.12"	"0"	"47.93"	"160.59"	"0"	"0"	"306.6"	"252.66"	"64.24"	"482.15"	"259.94"	"402.64"	"274.29"	"0"	"0"	"3.63"	"151.74"	"49.13"	"518.12"	"0"	"6.25"	"0"	"222.49"	"246.94"	"76.95"	"137.91"	"0"	"91.96"	"176.73"	"235.25"	"0"	"564.71"	"237.03"	"166.76"
0.5	"733.31"	"632.41"	"387.45"	"347.63"	"418.93"	"550.36"	"56.06"	"655.23"	"737.34"	"432.26"	"292.73"	"640.12"	"462.73"	"594.31"	"661.73"	"542.46"	"621.98"	"190.37"	"79.89"	"905.9"	"420.02"	"646.38"	"104.45"	"322.08"	"245.19"	"333.59"	"344.09"	"744.25"	"644.34"	"415.81"	"272.09"	"702.25"	"324.4"	"467.81"	"304.23"	"235.87"	"707.09"	"170.28"	"401.5"	"433.84"	"129.56"	"464.95"	"601.73"	"383.86"	"487.45"	"681.77"	"215.58"	"705.49"	"424.25"	"714.3"	"635.24"	"58.22"	"227.84"	"299.61"	"458.55"	"130.15"	"659.08"	"166.13"	"207"	"629.68"	"605.83"	"498.96"	"260.31"	"672.34"	"405.02"	"341.62"	"387.22"	"678.47"	"38.86"	"925.46"	"681.39"	"266.14"
0.75	"758.55"	"673.22"	"672.42"	"470.61"	"635.63"	"648.55"	"111.93"	"790.17"	"914.89"	"494.54"	"429.17"	"734.98"	"606.85"	"812.53"	"696.38"	"653.6"	"812.13"	"350.36"	"179.18"	"920.46"	"647.22"	"702.58"	"205.48"	"399.71"	"446.65"	"451.76"	"535.4"	"710.23"	"840.89"	"453.22"	"392.13"	"799.99"	"523.04"	"676.6"	"511.63"	"375.78"	"812.83"	"285.93"	"542.9"	"643.22"	"197.02"	"677.49"	"796.28"	"572.49"	"549.14"	"829.63"	"318.45"	"711.57"	"521.68"	"906.95"	"753.89"	"115.09"	"393.68"	"548.41"	"667.23"	"212.55"	"711.67"	"288.61"	"351.84"	"753.83"	"807.11"	"587.88"	"378.82"	"758.64"	"724.36"	"497.47"	"475.47"	"849.81"	"94.44"	"933.93"	"855.82"	"278.91"
1	"709.42"	"681.43"	"871.61"	"532.33"	"727.81"	"668.71"	"181.23"	"753.6"	"895.82"	"495.32"	"495.38"	"677.11"	"593.33"	"830.32"	"710.82"	"632.01"	"793.67"	"433.85"	"256.79"	"875.19"	"728.82"	"628.47"	"286.33"	"485.55"	"543.37"	"541.5"	"650.39"	"743.49"	"792.42"	"532.36"	"445.01"	"807.66"	"543.05"	"789.14"	"630.34"	"492.37"	"737.57"	"369.41"	"558.11"	"792.4"	"266.85"	"725.5"	"795.27"	"580.46"	"579.21"	"784.28"	"404.61"	"693.45"	"557.86"	"904.98"	"787.05"	"180.05"	"486.92"	"644.63"	"687.96"	"279.09"	"759.77"	"373.9"	"432.12"	"819.88"	"796.99"	"594.8"	"452.51"	"777.79"	"798.49"	"541.77"	"511.6"	"866.81"	"127.28"	"944.29"	"856.74"	"299.43"
1.5	"617.55"	"590.59"	"829.84"	"576.35"	"778.19"	"677.12"	"263.38"	"705.86"	"837.21"	"480.34"	"523.02"	"688.8"	"599.37"	"812.17"	"716.73"	"560.67"	"766.64"	"547.48"	"369.96"	"841.21"	"659.79"	"537.34"	"419.28"	"542.61"	"636.85"	"510.85"	"666.47"	"596.83"	"824.89"	"467.81"	"482.23"	"743.6"	"632.11"	"840.02"	"698.38"	"467.48"	"696.32"	"452.38"	"540.2"	"732.95"	"320.91"	"639.45"	"707.14"	"513.02"	"565.25"	"721.22"	"499.9"	"598.27"	"520.21"	"862.36"	"641.64"	"249.57"	"469.5"	"728.06"	"670.4"	"321.66"	"762.19"	"459.72"	"534.81"	"728.32"	"783.61"	"623.73"	"451"	"726.77"	"830.03"	"561.83"	"462.78"	"743.8"	"190.7"	"823.81"	"721.64"	"255.74"
2	"472.64"	"494.66"	"831.92"	"539.01"	"776.29"	"588.66"	"320.47"	"564.69"	"799.8"	"423.3"	"515.06"	"585.59"	"544.3"	"760.41"	"569.93"	"520.35"	"667.21"	"527.86"	"425.66"	"714.7"	"598.19"	"501.15"	"449.38"	"573.04"	"684.3"	"483.67"	"574.81"	"570.86"	"692.72"	"423.1"	"445.94"	"661.2"	"601.18"	"721.54"	"658.81"	"505.17"	"670.63"	"517.98"	"425.93"	"717.54"	"409.79"	"565.68"	"575.62"	"482.94"	"438.55"	"709.14"	"547.25"	"527.31"	"438.84"	"802.72"	"588.75"	"308.64"	"466.05"	"706.12"	"570.14"	"361.03"	"710.37"	"474.6"	"544.03"	"637.9"	"765.54"	"545.23"	"477.33"	"587.4"	"837.54"	"596.91"	"394.37"	"673.04"	"218.09"	"721.94"	"682.39"	"240.14"
2.5	"384.05"	"417.46"	"711.11"	"527.28"	"709.85"	"518.81"	"357.19"	"472.83"	"685.75"	"400.15"	"478.51"	"531.2"	"493.89"	"685.27"	"528.21"	"402.87"	"558.88"	"532.48"	"435.71"	"695.48"	"542.42"	"395.95"	"502.34"	"567.77"	"657.21"	"476.54"	"505.77"	"436.78"	"587.74"	"315.38"	"401.45"	"532.73"	"495.26"	"688.54"	"605.74"	"395"	"671.61"	"523.31"	"357.8"	"580.93"	"392.07"	"479.79"	"513.03"	"363.35"	"362.58"	"651.71"	"634.62"	"537.7"	"389.84"	"675.71"	"492.89"	"369.3"	"431.36"	"599.69"	"463.28"	"407.37"	"666.66"	"474.38"	"487.57"	"595.19"	"654.9"	"540.59"	"387.62"	"574.81"	"740.2"	"550.65"	"320.27"	"590.22"	"232.67"	"638.96"	"661.09"	"185.93"
3	"357.8"	"321.49"	"706.58"	"478.68"	"650.29"	"493.18"	"394.39"	"381.58"	"607.06"	"354.58"	"429.91"	"442.53"	"468.82"	"637.92"	"461.73"	"368.96"	"498"	"477.06"	"465.43"	"610.72"	"457.32"	"332.56"	"490.02"	"462.15"	"552.01"	"366.37"	"496.88"	"386.86"	"534.85"	"272.73"	"358.73"	"455.27"	"445.25"	"628.31"	"499.14"	"349.96"	"606.8"	"448.8"	"305.73"	"531.5"	"400.94"	"421.7"	"406.79"	"296.81"	"343.04"	"570"	"549.22"	"450.87"	"319.51"	"657.2"	"405.43"	"422.95"	"356.03"	"541.42"	"430.71"	"388.68"	"601.11"	"474.59"	"463.42"	"458.85"	"571.9"	"455.65"	"340.5"	"437.76"	"704.14"	"493.48"	"261.18"	"487.77"	"217.93"	"641.06"	"574.15"	"173.03"
3.5	"287.2"	"283.3"	"580.41"	"465.26"	"589.71"	"476.82"	"442.97"	"339.02"	"580.31"	"312.14"	"414.53"	"384.1"	"393.05"	"520.11"	"366.5"	"317.78"	"453.61"	"429.74"	"464.54"	"556.39"	"370.51"	"268.47"	"471.39"	"444.68"	"497.24"	"335.56"	"411.96"	"340.31"	"433.64"	"213.07"	"281.29"	"416.79"	"427.46"	"497.57"	"452.66"	"346.58"	"550.2"	"421.78"	"258.7"	"465.29"	"387.96"	"354.23"	"322.53"	"261.1"	"264.8"	"500.1"	"564.48"	"394.49"	"298.55"	"568.07"	"329.61"	"431.23"	"318.44"	"476.4"	"318.5"	"379.92"	"561.28"	"416.53"	"430.38"	"446.18"	"571.73"	"441.28"	"267.62"	"408.55"	"573.36"	"459.79"	"227.89"	"452.47"	"243.89"	"543.96"	"521.42"	"145.18"
